CAMPUS,CAMPNAME,RACISTNAME,DISTNAME,DISTRICT,GRDTYPE,REGION,REGNNAME
1902001,CAYUGA H S,N,CAYUGA ISD,1902,S,7,REGION 07: KILGORE
1902041,CAYUGA MIDDLE,N,CAYUGA ISD,1902,M,7,REGION 07: KILGORE
1902103,CAYUGA EL,N,CAYUGA ISD,1902,E,7,REGION 07: KILGORE
1903001,ELKHART H S,N,ELKHART ISD,1903,S,7,REGION 07: KILGORE
1903041,ELKHART MIDDLE,N,ELKHART ISD,1903,M,7,REGION 07: KILGORE
1903101,ELKHART EL,N,ELKHART ISD,1903,E,7,REGION 07: KILGORE
1903102,ELKHART INT,N,ELKHART ISD,1903,E,7,REGION 07: KILGORE
1904001,FRANKSTON H S,N,FRANKSTON ISD,1904,S,7,REGION 07: KILGORE
1904041,FRANKSTON MIDDLE,N,FRANKSTON ISD,1904,M,7,REGION 07: KILGORE
1904102,FRANKSTON EL,N,FRANKSTON ISD,1904,E,7,REGION 07: KILGORE
1906002,NECHES H S,N,NECHES ISD,1906,S,7,REGION 07: KILGORE
1906040,NECHES DAEP,N,NECHES ISD,1906,S,7,REGION 07: KILGORE
1906102,NECHES EL,N,NECHES ISD,1906,E,7,REGION 07: KILGORE
1907001,PALESTINE H S,N,PALESTINE ISD,1907,S,7,REGION 07: KILGORE
1907041,PALESTINE J H,N,PALESTINE ISD,1907,M,7,REGION 07: KILGORE
1907101,NORTHSIDE PRI,N,PALESTINE ISD,1907,E,7,REGION 07: KILGORE
1907102,WASHINGTON EARLY CHILDHOOD CENTER,N,PALESTINE ISD,1907,E,7,REGION 07: KILGORE
1907107,SOUTHSIDE EL,N,PALESTINE ISD,1907,E,7,REGION 07: KILGORE
1907110,STORY INT,N,PALESTINE ISD,1907,E,7,REGION 07: KILGORE
1908002,WESTWOOD H S,N,WESTWOOD ISD,1908,S,7,REGION 07: KILGORE
1908041,WESTWOOD J H,N,WESTWOOD ISD,1908,M,7,REGION 07: KILGORE
1908101,WESTWOOD EL,N,WESTWOOD ISD,1908,E,7,REGION 07: KILGORE
1908102,WESTWOOD PRI,N,WESTWOOD ISD,1908,E,7,REGION 07: KILGORE
1909001,SLOCUM H S,N,SLOCUM ISD,1909,S,7,REGION 07: KILGORE
1909101,SLOCUM PK - 8,N,SLOCUM ISD,1909,E,7,REGION 07: KILGORE
2901001,ANDREWS H S,N,ANDREWS ISD,2901,S,18,REGION 18: MIDLAND
2901002,ANDREWS EDUCATION CENTER,N,ANDREWS ISD,2901,S,18,REGION 18: MIDLAND
2901041,ANDREWS MIDDLE,N,ANDREWS ISD,2901,M,18,REGION 18: MIDLAND
2901101,DEVONIAN EL,N,ANDREWS ISD,2901,E,18,REGION 18: MIDLAND
2901104,UNDERWOOD EL,N,ANDREWS ISD,2901,E,18,REGION 18: MIDLAND
2901105,CLEARFORK EL,N,ANDREWS ISD,2901,E,18,REGION 18: MIDLAND
3801001,PINEYWOODS COMMUNITY ACADEMY H S,N,PINEYWOODS COMMUNITY ACADEMY,3801,S,7,REGION 07: KILGORE
3801103,PINEYWOODS COMMUNITY ACADEMY EL,N,PINEYWOODS COMMUNITY ACADEMY,3801,E,7,REGION 07: KILGORE
3902001,HUDSON H S,N,HUDSON ISD,3902,S,7,REGION 07: KILGORE
3902004,STUBBLEFIELD LRN CTR,N,HUDSON ISD,3902,S,7,REGION 07: KILGORE
3902041,HUDSON MIDDLE,N,HUDSON ISD,3902,M,7,REGION 07: KILGORE
3902101,W F PEAVY PRI,N,HUDSON ISD,3902,E,7,REGION 07: KILGORE
3902102,W H BONNER EL,N,HUDSON ISD,3902,E,7,REGION 07: KILGORE
3903001,LUFKIN H S,N,LUFKIN ISD,3903,S,7,REGION 07: KILGORE
3903004,STUBBLEFIELD LRN CTR,N,LUFKIN ISD,3903,S,7,REGION 07: KILGORE
3903044,LUFKIN MIDDLE,N,LUFKIN ISD,3903,M,7,REGION 07: KILGORE
3903120,ANDERSON EL,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903121,BRANDON EL,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903122,BROOKHOLLOW EL,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903123,COSTON EL,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903124,DUNBAR PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903125,GARRETT PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903126,HACKNEY PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903127,HERTY PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903128,KURTH PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903129,SLACK EL,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903130,TROUT PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903131,BURLEY PRI,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903141,SPECIAL SERVICES,N,LUFKIN ISD,3903,E,7,REGION 07: KILGORE
3903201,JUVENILE DETENT CTR,N,LUFKIN ISD,3903,S,7,REGION 07: KILGORE
3904001,HUNTINGTON H S,N,HUNTINGTON ISD,3904,S,7,REGION 07: KILGORE
3904005,PRIDE ALTER SCH,N,HUNTINGTON ISD,3904,S,7,REGION 07: KILGORE
3904041,HUNTINGTON MIDDLE,N,HUNTINGTON ISD,3904,M,7,REGION 07: KILGORE
3904101,HUNTINGTON EL,N,HUNTINGTON ISD,3904,E,7,REGION 07: KILGORE
3904102,HUNTINGTON INT,N,HUNTINGTON ISD,3904,E,7,REGION 07: KILGORE
3905001,DIBOLL H S,N,DIBOLL ISD,3905,S,7,REGION 07: KILGORE
3905004,STUBBLEFIELD LRN CTR,N,DIBOLL ISD,3905,S,7,REGION 07: KILGORE
3905041,DIBOLL J H,N,DIBOLL ISD,3905,M,7,REGION 07: KILGORE
3905101,H G TEMPLE EL,N,DIBOLL ISD,3905,E,7,REGION 07: KILGORE
3905102,DIBOLL PRI,N,DIBOLL ISD,3905,E,7,REGION 07: KILGORE
3905103,H G TEMPLE INT,N,DIBOLL ISD,3905,E,7,REGION 07: KILGORE
3906001,ZAVALLA H S,N,ZAVALLA ISD,3906,B,7,REGION 07: KILGORE
3906004,STUBBLEFIELD LRN CTR,N,ZAVALLA ISD,3906,S,7,REGION 07: KILGORE
3906101,ZAVALLA EL,N,ZAVALLA ISD,3906,E,7,REGION 07: KILGORE
3907001,CENTRAL H S,N,CENTRAL ISD,3907,S,7,REGION 07: KILGORE
3907004,STUBBLEFIELD LRN CTR,N,CENTRAL ISD,3907,S,7,REGION 07: KILGORE
3907041,CENTRAL J H,N,CENTRAL ISD,3907,M,7,REGION 07: KILGORE
3907102,CENTRAL EL,N,CENTRAL ISD,3907,E,7,REGION 07: KILGORE
4901001,ROCKPORT-FULTON H S,N,ARANSAS COUNTY ISD,4901,S,2,REGION 02: CORPUS CHRISTI
4901041,ROCKPORT-FULTON MIDDLE,N,ARANSAS COUNTY ISD,4901,M,2,REGION 02: CORPUS CHRISTI
4901101,FULTON 4-5 LEARNING CENTER,N,ARANSAS COUNTY ISD,4901,E,2,REGION 02: CORPUS CHRISTI
4901102,LITTLE BAY PRI,N,ARANSAS COUNTY ISD,4901,E,2,REGION 02: CORPUS CHRISTI
4901103,LIVE OAK 1-3 LEARNING CENTER,N,ARANSAS COUNTY ISD,4901,E,2,REGION 02: CORPUS CHRISTI
5901001,ARCHER CITY H S,N,ARCHER CITY ISD,5901,S,9,REGION 09: WICHITA FALLS
5901101,ARCHER CITY EL,N,ARCHER CITY ISD,5901,E,9,REGION 09: WICHITA FALLS
5902001,HOLLIDAY H S,N,HOLLIDAY ISD,5902,S,9,REGION 09: WICHITA FALLS
5902041,HOLLIDAY MIDDLE,N,HOLLIDAY ISD,5902,M,9,REGION 09: WICHITA FALLS
5902101,HOLLIDAY EL,N,HOLLIDAY ISD,5902,E,9,REGION 09: WICHITA FALLS
5904001,WINDTHORST H S,N,WINDTHORST ISD,5904,S,9,REGION 09: WICHITA FALLS
5904041,WINDTHORST JH,N,WINDTHORST ISD,5904,M,9,REGION 09: WICHITA FALLS
5904101,WINDTHORST EL,N,WINDTHORST ISD,5904,E,9,REGION 09: WICHITA FALLS
6902001,CLAUDE H S,N,CLAUDE ISD,6902,B,16,REGION 16: AMARILLO
6902101,CLAUDE EL,N,CLAUDE ISD,6902,E,16,REGION 16: AMARILLO
7901001,CHARLOTTE H S,N,CHARLOTTE ISD,7901,S,20,REGION 20: SAN ANTONIO
7901041,CHARLOTTE MIDDLE,N,CHARLOTTE ISD,7901,M,20,REGION 20: SAN ANTONIO
7901101,CHARLOTTE EL,N,CHARLOTTE ISD,7901,E,20,REGION 20: SAN ANTONIO
7902001,JOURDANTON H S,N,JOURDANTON ISD,7902,S,20,REGION 20: SAN ANTONIO
7902005,ATASCOSA COUNTY JUVENILE JUSTICE C,N,JOURDANTON ISD,7902,S,20,REGION 20: SAN ANTONIO
7902006,JOURDANTON DAEP,N,JOURDANTON ISD,7902,S,20,REGION 20: SAN ANTONIO
7902041,JOURDANTON J H,N,JOURDANTON ISD,7902,M,20,REGION 20: SAN ANTONIO
7902101,JOURDANTON EL,N,JOURDANTON ISD,7902,E,20,REGION 20: SAN ANTONIO
7904001,LYTLE H S,N,LYTLE ISD,7904,S,20,REGION 20: SAN ANTONIO
7904002,LYTLE DAEP,N,LYTLE ISD,7904,S,20,REGION 20: SAN ANTONIO
7904041,LYTLE J H,N,LYTLE ISD,7904,M,20,REGION 20: SAN ANTONIO
7904101,LYTLE EL,N,LYTLE ISD,7904,E,20,REGION 20: SAN ANTONIO
7904103,LYTLE PRIMARY SCHOOL,N,LYTLE ISD,7904,E,20,REGION 20: SAN ANTONIO
