NAME,LABEL
CAMPUS ,Campus Number 
CB00AA1B513R,"African American, EOC Algebra I Rate "
CB00AA2B513R ,"African American, EOC Algebra II Rate "
CB00ABIB513R ,"African American, EOC Biology Rate "
CB00ACHB513R ,"African American, EOC Chemistry Rate "
CB00AGEB513R ,"African American, EOC Geometry Rate "
CB00APHB513R ,"African American, EOC Physics Rate "
CB00AR1B513R ,"African American, EOC Reading I Rate "
CB00AR2B513R ,"African American, EOC Reading II Rate "
CB00AR3B513R ,"African American, EOC Reading III Rate "
CB00AUSB513R ,"African American, EOC US History Rate "
CB00AWGB513R ,"African American, EOC World Geography Rate "
CB00AWHB513R ,"African American, EOC World History Rate "
CB00AW1B513R ,"African American, EOC Writing I Rate "
CB00AW2B513R ,"African American, EOC Writing II Rate "
CB00AW3B513R ,"African American, EOC Writing III Rate "
CA00AA1B513R ,"All Students, EOC Algebra I Rate "
CA00AA2B513R ,"All Students, EOC Algebra II Rate "
CA00ABIB513R ,"All Students, EOC Biology Rate "
CA00ACHB513R ,"All Students, EOC Chemistry Rate "
CA00AGEB513R ,"All Students, EOC Geometry Rate "
CA00APHB513R ,"All Students, EOC Physics Rate "
CA00AR1B513R ,"All Students, EOC Reading I Rate "
CA00AR2B513R ,"All Students, EOC Reading II Rate "
CA00AR3B513R ,"All Students, EOC Reading III Rate "
CA00AUSB513R ,"All Students, EOC US History Rate "
CA00AWGB513R ,"All Students, EOC World Geography Rate "
CA00AWHB513R ,"All Students, EOC World History Rate "
CA00AW1B513R ,"All Students, EOC Writing I Rate "
CA00AW2B513R ,"All Students, EOC Writing II Rate "
CA00AW3B513R ,"All Students, EOC Writing III Rate "
CI00AA1B513R ,"American Indian, EOC Algebra I Rate "
CI00AA2B513R ,"American Indian, EOC Algebra II Rate "
CI00ABIB513R ,"American Indian, EOC Biology Rate "
CI00ACHB513R ,"American Indian, EOC Chemistry Rate "
CI00AGEB513R ,"American Indian, EOC Geometry Rate "
CI00APHB513R ,"American Indian, EOC Physics Rate "
CI00AR1B513R ,"American Indian, EOC Reading I Rate "
CI00AR2B513R ,"American Indian, EOC Reading II Rate "
CI00AR3B513R ,"American Indian, EOC Reading III Rate "
CI00AUSB513R ,"American Indian, EOC US History Rate "
CI00AWGB513R ,"American Indian, EOC World Geography Rate "
CI00AWHB513R ,"American Indian, EOC World History Rate "
CI00AW1B513R ,"American Indian, EOC Writing I Rate "
CI00AW2B513R ,"American Indian, EOC Writing II Rate "
CI00AW3B513R ,"American Indian, EOC Writing III Rate "
C300AA1B513R ,"Asian, EOC Algebra I Rate "
C300AA2B513R ,"Asian, EOC Algebra II Rate "
C300ABIB513R ,"Asian, EOC Biology Rate "
C300ACHB513R ,"Asian, EOC Chemistry Rate "
C300AGEB513R ,"Asian, EOC Geometry Rate "
C300APHB513R ,"Asian, EOC Physics Rate "
C300AR1B513R ,"Asian, EOC Reading I Rate "
C300AR2B513R ,"Asian, EOC Reading II Rate "
C300AR3B513R ,"Asian, EOC Reading III Rate "
C300AUSB513R ,"Asian, EOC US History Rate "
C300AWGB513R ,"Asian, EOC World Geography Rate "
C300AWHB513R ,"Asian, EOC World History Rate "
C300AW1B513R ,"Asian, EOC Writing I Rate "
C300AW2B513R ,"Asian, EOC Writing II Rate "
C300AW3B513R ,"Asian, EOC Writing III Rate "
CR00AA1B513R ,"At Risk, EOC Algebra I Rate "
CR00AA2B513R ,"At Risk, EOC Algebra II Rate "
CR00ABIB513R ,"At Risk, EOC Biology Rate "
CR00ACHB513R ,"At Risk, EOC Chemistry Rate "
CR00AGEB513R ,"At Risk, EOC Geometry Rate "
CR00APHB513R ,"At Risk, EOC Physics Rate "
CR00AR1B513R ,"At Risk, EOC Reading I Rate "
CR00AR2B513R ,"At Risk, EOC Reading II Rate "
CR00AR3B513R ,"At Risk, EOC Reading III Rate "
CR00AUSB513R ,"At Risk, EOC US History Rate "
CR00AWGB513R ,"At Risk, EOC World Geography Rate "
CR00AWHB513R ,"At Risk, EOC World History Rate "
CR00AW1B513R ,"At Risk, EOC Writing I Rate "
CR00AW2B513R ,"At Risk, EOC Writing II Rate "
CR00AW3B513R ,"At Risk, EOC Writing III Rate "
CL00AA1B513R ,"ELL, EOC Algebra I Rate "
CL00AA2B513R ,"ELL, EOC Algebra II Rate "
CL00ABIB513R ,"ELL, EOC Biology Rate "
CL00ACHB513R ,"ELL, EOC Chemistry Rate "
CL00AGEB513R ,"ELL, EOC Geometry Rate "
