CAMPUS,C20GP15R,C20GV15R,C2CRB15R,C30GP15R,C30GV15R,C3CRB15R,C40GP15R,C40GV15R,C4CRB15R,CA0GP15R,CA0GV15R,CACRB15R,CB0GP15R,CB0GV15R,CBCRB15R,CE0GP15R,CE0GV15R,CECRB15R,CF0GP15R,CF0GV15R,CFCRB15R,CH0GP15R,CH0GV15R,CHCRB15R,CI0GP15R,CI0GV15R,CICRB15R,CL0GP15R,CL0GV15R,CLCRB15R,CM0GP15R,CM0GV15R,CMCRB15R,CR0GP15R,CR0GV15R,CRCRB15R,CS0GP15R,CS0GV15R,CSCRB15R,CW0GP15R,CW0GV15R,CWCRB15R
1902001,-1,-1,-1,-1,-1,-1,.,.,.,55.4,12.5,22,66.7,16.7,20,53.8,23.1,40,53.3,3.3,16,-1,-1,-1,.,.,.,.,.,.,57.7,23.1,29,46.2,23.1,-1,50,50,-1,56.8,13.6,26
1902041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1902103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1903001,-1,-1,.,-1,-1,-1,.,.,.,64.4,53.4,27,-1,-1,-1,50,50,13,73,64.9,26,-1,-1,-1,.,.,.,.,.,.,55.6,41.7,27,41.7,41.7,0,-1,-1,.,69.8,58.7,27
1903041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1903101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1903102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1904001,.,.,.,-1,-1,.,.,.,.,100,100,6,100,100,0,100,100,10,100,100,0,100,100,-1,.,.,.,.,.,.,100,100,17,100,100,0,100,100,-1,100,100,10
1904041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1904102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1906002,.,.,.,.,.,.,.,.,.,86.2,58.6,33,-1,-1,.,80,80,-1,92.3,61.5,40,-1,-1,.,.,.,.,.,.,.,81.3,56.3,29,60,40,-1,-1,-1,.,88.5,57.7,33
1906040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1906102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1907001,.,.,.,-1,-1,-1,.,.,.,92.6,90.9,17,92.2,92.2,15,95.1,93.1,13,94.5,94.5,13,94.3,92.9,11,.,.,.,-1,-1,-1,90.5,86.9,22,94.4,92.2,4,100,100,-1,92.2,88.2,23
1907041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1907101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
