CAMPUS,CA00A00B213R,CB00A00B213R,CW00A00B213R,CH00A00B213R,CI00A00B213R,C200A00B213R,C300A00B213R,C400A00B213R,CF00A00B213R,CM00A00B213R,CE00A00B213R,CN00A00B213R,CS00A00B213R,CR00A00B213R,C700A00B213R,CL00A00B213R,CG00A00B213R,C900A00B213R,CA00AR0B213R,CB00AR0B213R,CW00AR0B213R,CH00AR0B213R,CI00AR0B213R,C200AR0B213R,C300AR0B213R,C400AR0B213R,CF00AR0B213R,CM00AR0B213R,CE00AR0B213R,CN00AR0B213R,CS00AR0B213R,CR00AR0B213R,C700AR0B213R,CL00AR0B213R,CG00AR0B213R,C900AR0B213R,CA00AM0B213R,CB00AM0B213R,CW00AM0B213R,CH00AM0B213R,CI00AM0B213R,C200AM0B213R,C300AM0B213R,C400AM0B213R,CF00AM0B213R,CM00AM0B213R,CE00AM0B213R,CN00AM0B213R,CS00AM0B213R,CR00AM0B213R,C700AM0B213R,CL00AM0B213R,CG00AM0B213R,C900AM0B213R,CA00AC0B213R,CB00AC0B213R,CW00AC0B213R,CH00AC0B213R,CI00AC0B213R,C200AC0B213R,C300AC0B213R,C400AC0B213R,CF00AC0B213R,CM00AC0B213R,CE00AC0B213R,CN00AC0B213R,CS00AC0B213R,CR00AC0B213R,C700AC0B213R,CL00AC0B213R,CG00AC0B213R,C900AC0B213R,CA00AS0B213R,CB00AS0B213R,CW00AS0B213R,CH00AS0B213R,CI00AS0B213R,C200AS0B213R,C300AS0B213R,C400AS0B213R,CF00AS0B213R,CM00AS0B213R,CE00AS0B213R,CN00AS0B213R,CS00AS0B213R,CR00AS0B213R,C700AS0B213R,CL00AS0B213R,CG00AS0B213R,C900AS0B213R,CA00AW0B213R,CB00AW0B213R,CW00AW0B213R,CH00AW0B213R,CI00AW0B213R,C200AW0B213R,C300AW0B213R,C400AW0B213R,CF00AW0B213R,CM00AW0B213R,CE00AW0B213R,CN00AW0B213R,CS00AW0B213R,CR00AW0B213R,C700AW0B213R,CL00AW0B213R,CG00AW0B213R,C900AW0B213R
1902001,39,23,41,42,.,43,14,.,46,34,37,41,20,18,50,.,.,39,50,50,51,43,.,50,-1,.,61,40,42,54,32,28,61,.,.,50,42,10,45,43,.,50,-1,.,52,34,35,46,7,13,55,.,.,42,31,11,34,14,.,33,-1,.,34,29,33,30,12,9,41,.,.,31,30,10,30,43,.,33,-1,.,29,30,27,31,13,6,40,.,.,30,45,25,46,-1,.,-1,-1,.,52,36,48,43,38,31,52,.,.,45
1902041,36,42,37,14,.,35,-1,.,39,34,29,40,30,26,40,.,.,36,54,88,55,20,.,40,-1,.,62,47,46,58,43,41,58,.,.,54,32,25,34,20,.,20,-1,.,33,31,20,39,30,26,34,.,.,32,36,-1,38,-1,.,-1,.,.,32,39,20,43,40,28,41,.,.,36,2,-1,2,-1,.,-1,.,.,5,0,0,3,-1,-1,3,.,.,2,34,-1,34,-1,.,-1,-1,.,32,36,40,31,-1,11,39,.,.,34
1902103,43,22,45,21,.,53,-1,.,42,44,35,48,28,30,46,20,.,43,45,-1,48,18,.,57,-1,.,43,47,32,54,33,26,50,-1,.,45,43,-1,44,27,.,57,-1,.,43,42,38,46,25,35,45,-1,.,43,17,-1,17,-1,.,-1,.,.,13,21,8,24,-1,-1,21,.,.,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,-1,61,-1,.,-1,.,.,57,55,56,56,-1,60,55,-1,.,56
1903001,29,30,31,14,-1,16,8,.,26,31,19,34,14,8,40,.,.,29,42,63,44,16,.,13,-1,.,41,42,34,46,25,15,57,.,.,42,31,29,34,11,-1,13,-1,.,27,34,18,38,13,10,43,.,.,31,23,22,24,14,-1,25,-1,.,18,29,11,29,9,5,33,.,.,23,15,13,16,10,.,13,-1,.,10,21,10,18,8,2,23,.,.,15,34,-1,37,23,.,-1,-1,.,38,31,23,40,-1,9,45,.,.,34
1903041,30,10,31,30,-1,20,35,.,32,29,23,37,34,11,39,.,.,30,44,25,45,46,-1,-1,-1,.,49,39,36,51,42,19,55,.,.,44,28,8,29,23,-1,-1,-1,.,28,27,20,35,31,10,36,.,.,28,19,-1,21,-1,-1,-1,-1,.,18,20,9,26,22,3,26,.,.,19,8,-1,9,-1,-1,-1,-1,.,6,11,7,10,-1,0,13,.,.,8,33,-1,32,50,.,-1,-1,.,33,33,20,44,43,13,40,.,.,33
1903101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1903102,40,20,40,41,.,53,60,67,40,39,32,48,43,16,47,-1,.,40,43,22,43,43,.,64,-1,-1,44,43,37,50,42,17,52,-1,.,43,36,17,35,43,.,50,-1,-1,37,35,27,46,39,13,43,-1,.,36,40,25,41,45,.,40,-1,-1,38,44,31,50,55,23,47,-1,.,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,-1,41,-1,.,43,.,-1,44,36,35,44,45,18,44,.,.,39
1904001,23,25,22,20,0,21,80,.,22,23,18,28,27,13,32,.,.,23,35,41,36,28,-1,17,-1,.,38,32,31,41,34,25,46,.,.,35,19,14,20,19,-1,-1,-1,.,17,21,13,25,21,8,28,.,.,19,17,19,17,12,-1,-1,-1,.,18,16,9,25,14,8,23,.,.,17,19,18,18,18,-1,33,-1,.,13,25,18,20,28,9,27,.,.,19,22,36,19,23,.,-1,-1,.,26,18,16,29,29,13,35,.,.,22
1904041,35,19,35,34,-1,90,.,.,33,36,26,45,37,13,44,33,.,35,44,36,45,33,-1,-1,.,.,45,44,32,59,45,18,54,-1,.,44,32,14,33,27,-1,-1,.,.,27,36,25,40,45,14,39,-1,.,32,34,-1,33,-1,.,-1,.,.,27,37,26,42,-1,5,47,-1,.,34,12,-1,12,-1,.,-1,.,.,5,16,9,16,-1,5,16,-1,.,12,42,-1,44,80,-1,-1,.,.,46,39,28,57,-1,12,53,-1,.,42
1904102,43,33,45,45,.,0,.,.,50,36,36,54,41,24,48,-1,.,43,50,43,54,47,.,-1,.,.,57,45,43,62,45,26,58,-1,.,50,40,21,43,47,.,-1,.,.,49,33,33,51,32,23,45,-1,.,40,37,-1,38,38,.,-1,.,.,39,34,35,39,50,25,42,-1,.,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,43,32,-1,.,-1,.,.,45,25,20,50,-1,-1,35,.,.,33
1906002,30,47,30,16,.,-1,-1,.,33,26,30,29,30,13,38,0,.,30,34,50,35,11,.,-1,-1,.,40,27,33,34,36,18,42,-1,.,34,22,29,21,30,.,-1,-1,.,24,21,27,20,27,3,31,-1,.,22,35,50,38,10,.,-1,-1,.,39,31,34,36,20,16,43,-1,.,35,26,33,27,20,.,-1,-1,.,20,33,31,24,20,12,32,-1,.,26,31,80,29,-1,.,.,.,.,46,17,23,36,-1,14,40,-1,.,31
1906102,49,34,51,52,.,17,-1,.,54,44,41,55,40,29,57,-1,.,49,59,33,60,62,.,-1,-1,.,66,52,45,69,36,34,69,-1,.,59,47,33,50,48,.,-1,-1,.,54,41,44,50,50,33,54,-1,.,47,49,40,49,58,.,-1,.,.,51,47,41,58,-1,20,58,-1,.,49,25,-1,20,-1,.,-1,.,.,15,36,-1,36,-1,-1,32,-1,.,25,32,-1,34,-1,.,-1,-1,.,37,27,26,35,27,18,39,.,.,32
1907001,19,11,25,19,11,40,36,.,21,18,16,25,15,11,32,11,-1,19,25,16,35,23,-1,-1,50,.,31,20,23,30,22,16,42,19,-1,25,19,11,21,24,-1,-1,-1,.,19,19,17,23,8,15,27,8,-1,19,21,11,29,21,-1,-1,20,.,22,20,17,31,14,10,39,17,-1,21,13,5,18,15,-1,-1,-1,.,10,15,11,17,14,8,22,0,-1,13,15,12,22,10,-1,-1,-1,.,19,12,11,25,16,8,30,-1,-1,15
1907041,30,20,41,28,43,18,-1,.,29,32,26,42,31,19,44,6,.,30,36,27,46,34,-1,-1,-1,.,35,38,31,49,36,24,49,-1,.,36,37,25,46,37,-1,-1,-1,.,36,38,34,45,32,25,51,14,.,37,28,13,45,21,-1,-1,-1,.,23,33,20,44,26,17,47,-1,.,28,17,5,26,15,-1,-1,-1,.,16,19,12,29,21,12,27,-1,.,17,20,16,30,16,-1,-1,.,.,22,19,17,32,37,6,30,-1,.,20
1907101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1907107,28,18,38,23,.,40,38,-1,31,25,26,34,25,12,42,6,.,28,29,21,37,27,.,40,-1,-1,32,27,26,40,30,12,45,13,.,29,26,15,39,19,.,40,-1,-1,29,24,25,29,20,12,39,0,.,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1907110,26,17,37,24,-1,43,79,.,27,26,23,40,32,10,44,11,.,26,25,19,40,19,-1,33,71,.,28,23,21,42,31,10,42,10,.,25,33,18,39,37,-1,67,86,.,31,34,30,43,33,13,53,20,.,33,25,18,46,16,.,14,-1,.,25,25,22,42,42,8,36,-1,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,9,17,9,-1,-1,-1,.,14,11,9,24,20,5,27,3,.,12
1908002,28,17,32,28,-1,20,25,-1,29,26,26,30,20,12,39,0,.,28,37,26,41,33,-1,43,-1,-1,39,35,36,38,26,23,47,-1,.,37,27,15,31,32,-1,14,-1,-1,29,25,27,27,18,9,39,-1,.,27,25,18,29,24,-1,15,-1,-1,29,21,23,27,18,8,37,-1,.,25,26,12,29,32,-1,14,-1,-1,21,30,22,29,19,9,37,-1,.,26,22,11,27,20,.,10,-1,.,30,15,20,24,15,5,34,-1,.,22
1908041,29,26,31,26,.,28,-1,.,29,30,24,35,23,19,33,-1,.,29,37,33,39,31,.,-1,-1,.,37,37,31,43,33,26,40,-1,.,36,33,27,34,36,.,22,-1,.,32,34,27,40,23,17,38,-1,.,33,36,17,41,35,.,-1,-1,.,25,51,31,41,33,23,42,-1,.,36,5,9,5,0,.,-1,-1,.,5,6,3,6,-1,6,5,-1,.,5,24,31,26,14,.,-1,.,.,34,16,17,35,6,19,26,-1,.,24
1908101,27,15,33,21,-1,24,-1,.,28,26,23,34,31,11,38,6,.,27,31,21,38,24,-1,20,-1,.,35,29,26,42,28,11,46,7,.,31,23,12,28,19,-1,25,-1,.,24,23,21,27,30,9,33,3,.,23,28,12,38,20,-1,25,.,.,20,35,24,37,44,11,38,-1,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,5,30,17,.,-1,-1,.,29,19,20,27,42,15,27,-1,.,23
1908102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1909001,33,40,34,22,.,17,.,.,33,33,33,33,29,22,37,-1,.,33,52,-1,55,36,.,17,.,.,52,52,47,55,46,40,56,-1,.,52,30,-1,31,18,.,33,.,.,31,28,35,27,24,19,34,-1,.,30,24,-1,25,13,.,-1,.,.,18,29,26,22,0,11,28,.,.,24,24,-1,23,25,.,-1,.,.,18,29,22,25,18,15,27,.,.,24,28,-1,29,14,.,-1,.,.,35,21,24,31,44,19,32,-1,.,28
1909101,28,.,29,37,.,16,.,.,29,28,30,26,16,13,31,.,.,28,40,.,41,57,.,14,.,.,48,35,44,36,29,27,43,.,.,40,20,.,21,14,.,-1,.,.,16,24,22,18,14,7,23,.,.,20,31,.,28,-1,.,-1,.,.,25,37,25,40,-1,-1,39,.,.,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,14,-1,.,-1,.,.,15,11,15,11,-1,-1,13,.,.,13
2901001,20,9,29,14,0,29,65,.,21,19,13,22,5,7,31,5,0,20,29,21,41,23,-1,33,-1,.,34,25,20,33,10,16,41,-1,-1,29,18,0,25,14,-1,28,-1,.,18,19,15,20,3,5,29,5,-1,18,17,8,26,12,-1,33,-1,.,17,18,11,20,2,4,29,6,-1,18,14,0,23,8,-1,28,-1,.,12,15,8,16,4,3,23,5,-1,14,20,-1,33,14,.,22,-1,.,24,17,12,24,9,7,36,-1,-1,20
2901002,2,.,3,0,.,.,.,.,0,4,0,3,-1,2,.,.,.,2,7,.,11,-1,.,.,.,.,0,-1,-1,10,-1,7,.,.,.,7,0,.,-1,0,.,.,.,.,0,-1,-1,0,.,0,.,.,.,0,0,.,0,0,.,.,.,.,0,-1,-1,0,.,0,.,.,.,0,0,.,0,-1,.,.,.,.,0,-1,-1,0,.,0,.,.,.,0,-1,.,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1
2901041,27,20,41,21,-1,32,33,.,29,26,19,33,27,9,36,7,-1,28,32,30,46,25,-1,38,-1,.,37,28,25,37,27,11,43,-1,-1,32,29,15,40,23,-1,25,-1,.,29,29,19,35,27,10,38,8,-1,29,31,25,58,19,.,-1,.,.,24,38,24,35,36,10,40,-1,.,31,15,13,27,10,.,-1,.,.,14,16,10,18,-1,4,20,-1,.,15,16,-1,26,11,-1,-1,-1,.,20,13,10,20,-1,4,21,-1,-1,16
2901101,29,0,37,26,-1,38,-1,.,30,28,24,33,21,14,34,6,.,29,30,-1,38,26,-1,-1,-1,.,34,27,25,35,19,15,35,-1,.,30,28,-1,36,25,-1,-1,-1,.,26,29,23,32,24,12,33,13,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2901104,25,13,36,19,-1,52,-1,.,24,26,18,31,20,17,28,11,.,25,30,-1,43,22,-1,73,-1,.,29,30,21,37,21,20,33,10,.,30,23,-1,28,20,-1,36,-1,.,21,24,18,27,26,18,25,18,.,23,22,-1,39,14,-1,43,.,.,18,25,21,23,-1,11,26,-1,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,-1,36,17,.,-1,-1,.,27,20,11,35,14,18,26,9,.,23
2901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3801001,29,15,33,19,.,25,65,50,29,28,25,31,7,11,30,.,.,29,41,29,47,24,.,-1,-1,-1,44,37,38,44,15,7,44,.,.,41,20,0,26,13,.,-1,60,-1,19,22,19,21,0,0,22,.,.,20,26,9,27,29,.,-1,-1,.,24,28,22,28,9,-1,26,.,.,26,22,13,28,4,.,-1,-1,.,14,32,19,24,0,13,22,.,.,22,33,25,34,29,.,.,-1,-1,46,19,28,37,-1,-1,35,.,.,33
3801103,32,14,38,14,.,63,64,.,31,32,21,43,16,13,33,31,.,32,35,17,43,14,.,-1,56,.,34,36,23,47,17,24,36,29,.,35,30,13,35,14,.,-1,78,.,28,32,21,39,22,6,32,43,.,30,37,13,46,-1,.,.,-1,.,32,41,30,45,-1,-1,40,-1,.,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,-1,19,-1,.,-1,-1,.,26,8,6,36,-1,-1,18,-1,.,18
3902001,36,25,41,23,-1,46,48,.,35,37,27,44,20,17,42,-1,.,36,45,45,50,32,-1,58,43,.,45,46,37,53,26,26,52,-1,.,45,35,25,38,23,-1,46,43,.,34,35,26,41,19,13,42,-1,.,35,31,12,36,19,-1,42,43,.,27,35,23,38,11,13,36,-1,.,31,39,27,43,27,-1,42,43,.,32,46,30,46,28,20,45,-1,.,39,30,8,37,11,.,38,-1,.,39,23,16,43,12,13,36,-1,.,30
3902004,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,-1,.,.,.,.,-1,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,-1,.,.,.,.,-1,.,-1,-1,-1,-1,.,.,.,-1
3902041,51,27,56,40,83,26,77,-1,51,51,37,67,46,23,62,18,.,51,54,32,61,38,-1,30,71,-1,53,54,39,71,41,28,64,23,.,54,55,21,60,47,-1,40,86,-1,57,53,41,72,49,27,67,15,.,55,51,33,56,39,-1,-1,-1,.,47,57,40,65,73,19,66,-1,.,51,34,11,39,24,-1,-1,-1,.,31,38,22,48,40,9,46,-1,.,34,46,40,48,40,.,-1,-1,.,51,40,30,60,36,19,55,-1,.,46
3902101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3902102,44,16,51,26,-1,36,85,.,46,41,31,60,38,14,52,8,.,44,45,19,53,25,-1,36,80,.,48,42,30,64,41,11,55,5,.,45,43,17,48,32,-1,27,80,.,43,43,33,55,42,19,49,14,.,43,41,13,52,18,.,-1,.,.,41,41,24,63,20,14,49,0,.,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,8,50,26,-1,-1,-1,.,54,30,34,56,-1,7,55,8,.,44
3903001,32,20,47,27,44,35,43,-1,32,31,26,42,24,16,47,9,.,32,38,29,53,33,63,45,36,-1,40,37,34,47,31,25,52,14,.,38,31,20,44,27,33,36,50,-1,31,30,25,41,16,12,48,4,.,31,36,25,48,31,20,56,44,-1,36,36,30,44,25,18,49,8,.,36,23,11,37,19,33,24,38,-1,20,27,17,33,26,8,37,14,.,23,31,17,54,24,57,19,53,-1,35,27,22,48,22,15,52,4,.,31
